Luxembourg                                          ,       82533                                   
Germany                                             ,       53416                                   
Switzerland                                         ,       45661                                   
Georgia                                             ,       37686                                   
Japan                                               ,       31632                                   
Austria                                             ,       31200                                   
Portugal                                            ,       31143                                   
Canada                                              ,       29612                                   
Ireland                                             ,       27411                                   
Qatar                                               ,       26279                                   
