South America             ,               317358,                    56461      
Southern and Central Asia ,               231867,                    44567      
Middle East               ,               198499,                    31673      
Northern Africa           ,               175927,                    30752      
Caribbean                 ,                96445,                     8234      
Eastern Europe            ,                74177,                    16352      
Southern Europe           ,                74712,                    12406      
Southeast Asia            ,                60842,                    21109      
Western Africa            ,                52280,                    18051      
Eastern Asia              ,                47473,                    14022      
Central America           ,                51148,                     4495      
Eastern Africa            ,                43134,                     4193      
Southern Africa           ,                30697,                     6175      
Central Africa            ,                23561,                     2743      
Melanesia                 ,                 5700,                      255      
Western Europe            ,                 1986,                     3729      
Nordic Countries          ,                 2559,                      978      
British Islands           ,                 2305,                      894      
Baltic Countries          ,                 1184,                      164      
Australia and New Zealand ,                  294,                      822      
North America             ,                   64,                      268      
